Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
277.7686396E-3	-784.1470666E-3	2.5712709E+0	200.0000030E-3
277.8057098E-3	-788.0853300E-3	2.5716132E+0	300.0000119E-3
277.8932449E-3	-833.0141264E-3	2.5724215E+0	400.0000060E-3
278.0337888E-3	-849.9132501E-3	2.5737192E+0	500.0000000E-3
278.1873655E-3	-781.8933593E-3	2.5751373E+0	600.0000238E-3
278.3295270E-3	-762.9358219E-3	2.5764499E+0	699.9999881E-3
278.5168911E-3	-775.7450086E-3	2.5781800E+0	800.0000119E-3
278.6693957E-3	-761.3018901E-3	2.5795881E+0	900.0000358E-3
278.8748930E-3	-782.6404511E-3	2.5814856E+0	1.0000000E+0
279.0190207E-3	-743.0967898E-3	2.5828164E+0	1.1000000E+0
279.2108676E-3	-792.5999087E-3	2.5845879E+0	1.2000000E+0
279.3568908E-3	-736.5303447E-3	2.5859362E+0	1.3000001E+0
279.5314212E-3	-721.0344838E-3	2.5875477E+0	1.4000000E+0
279.7096834E-3	-763.6036881E-3	2.5891938E+0	1.5000000E+0
279.8830820E-3	-783.4275199E-3	2.5907948E+0	1.6000000E+0
280.0537689E-3	-710.6593108E-3	2.5923709E+0	1.7000000E+0
280.2234218E-3	-681.4873768E-3	2.5939374E+0	1.8000001E+0
280.4007885E-3	-736.2523209E-3	2.5955751E+0	1.9000000E+0
280.5955475E-3	-683.9331903E-3	2.5973735E+0	2.0000000E+0
280.8127586E-3	-632.5123423E-3	2.5993791E+0	2.1000001E+0
280.9518836E-3	-655.0964809E-3	2.6006637E+0	2.2000000E+0
281.1553715E-3	-652.3928693E-3	2.6025427E+0	2.3000000E+0
281.3071399E-3	-618.2420395E-3	2.6039440E+0	2.4000001E+0
281.4997610E-3	-590.5187460E-3	2.6057226E+0	2.5000000E+0
281.6885063E-3	-641.9341093E-3	2.6074654E+0	2.6000001E+0
281.8776827E-3	-661.7789421E-3	2.6092122E+0	2.7000000E+0
282.0377134E-3	-645.7365505E-3	2.6106899E+0	2.8000000E+0
282.2172119E-3	-635.6616597E-3	2.6123473E+0	2.9000001E+0
282.3811794E-3	-543.7158445E-3	2.6138613E+0	3.0000000E+0
282.5353103E-3	-517.7110293E-3	2.6152845E+0	3.1000001E+0
282.7499857E-3	-568.8409628E-3	2.6172667E+0	3.2000000E+0
282.9154012E-3	-551.0014594E-3	2.6187941E+0	3.3000000E+0
283.0935064E-3	-522.3422946E-3	2.6204387E+0	3.4000001E+0
283.2881269E-3	-554.4790737E-3	2.6222357E+0	3.5000000E+0
283.4662701E-3	-472.8722664E-3	2.6238806E+0	3.6000001E+0
283.6446368E-3	-459.9479792E-3	2.6255276E+0	3.7000000E+0
283.8016078E-3	-465.9141594E-3	2.6269770E+0	3.8000000E+0
284.0004215E-3	-485.4549740E-3	2.6288128E+0	3.9000001E+0
284.1830473E-3	-333.7426636E-3	2.6304991E+0	4.0000000E+0
284.3565481E-3	-418.9059046E-3	2.6321011E+0	4.0999999E+0
284.5469966E-3	-399.3300958E-3	2.6338596E+0	4.2000003E+0
284.7319101E-3	-396.6831743E-3	2.6355670E+0	4.3000002E+0
284.9060159E-3	-344.0048381E-3	2.6371747E+0	4.4000001E+0
285.0932936E-3	-352.7124868E-3	2.6389039E+0	4.5000000E+0
285.2623660E-3	-276.2220862E-3	2.6404651E+0	4.5999999E+0
285.4436896E-3	-239.8430832E-3	2.6421393E+0	4.7000003E+0
285.6263785E-3	-214.8660608E-3	2.6438262E+0	4.8000002E+0
285.8075256E-3	-196.3413192E-3	2.6454989E+0	4.9000001E+0
285.9774538E-3	-114.9291874E-3	2.6470679E+0	5.0000000E+0
286.1735257E-3	-158.4232139E-3	2.6488784E+0	5.0999999E+0
