bfield	diode	hall	time 		
324.1081850E-3	-4.0966274E+0	2.9991522E+0	200.0000030E-3
324.1063060E-3	-4.0898408E+0	2.9991349E+0	300.0000119E-3
324.0966079E-3	-4.0857685E+0	2.9990453E+0	400.0000060E-3
324.1050300E-3	-4.0840261E+0	2.9991231E+0	500.0000000E-3
324.1042205E-3	-4.0826255E+0	2.9991156E+0	600.0000238E-3
324.1100813E-3	-4.0762642E+0	2.9991697E+0	699.9999881E-3
324.0888147E-3	-4.0826036E+0	2.9989734E+0	800.0000119E-3
324.1117170E-3	-4.1019713E+0	2.9991848E+0	900.0000358E-3
324.1287502E-3	-4.1173933E+0	2.9993421E+0	1.0000000E+0
324.1152365E-3	-4.1078140E+0	2.9992173E+0	1.1000000E+0
324.1117874E-3	-4.1045958E+0	2.9991855E+0	1.2000000E+0
324.0900963E-3	-4.0981944E+0	2.9989852E+0	1.3000001E+0
324.1131639E-3	-4.0917417E+0	2.9991982E+0	1.4000000E+0
324.1111891E-3	-4.0865054E+0	2.9991800E+0	1.5000000E+0
324.0895074E-3	-4.0774974E+0	2.9989798E+0	1.6000000E+0
324.1020385E-3	-4.0559236E+0	2.9990955E+0	1.7000000E+0
324.1310016E-3	-4.0714353E+0	2.9993629E+0	1.8000001E+0
324.1182281E-3	-4.0767074E+0	2.9992449E+0	1.9000000E+0
324.0782161E-3	-4.0729679E+0	2.9988755E+0	2.0000000E+0
324.0983078E-3	-4.0638241E+0	2.9990610E+0	2.1000001E+0
324.1035351E-3	-4.0717097E+0	2.9991093E+0	2.2000000E+0
324.0936269E-3	-4.0753984E+0	2.9990178E+0	2.3000000E+0
324.1208325E-3	-4.0858031E+0	2.9992690E+0	2.4000001E+0
324.0722933E-3	-4.0850064E+0	2.9988208E+0	2.5000000E+0
324.0972168E-3	-4.0797202E+0	2.9990509E+0	2.6000001E+0
324.0880181E-3	-4.0760714E+0	2.9989660E+0	2.7000000E+0
324.1016865E-3	-4.0757978E+0	2.9990922E+0	2.8000000E+0
324.0865287E-3	-4.0749440E+0	2.9989523E+0	2.9000001E+0
324.0821534E-3	-4.0870939E+0	2.9989119E+0	3.0000000E+0
324.1025306E-3	-4.1064271E+0	2.9991000E+0	3.1000001E+0
324.1181169E-3	-4.1138839E+0	2.9992439E+0	3.2000000E+0
324.1329395E-3	-4.1137792E+0	2.9993808E+0	3.3000000E+0
324.1015457E-3	-4.1009560E+0	2.9990909E+0	3.4000001E+0
324.1065831E-3	-4.0941378E+0	2.9991374E+0	3.5000000E+0
324.1343121E-3	-4.0884270E+0	2.9993935E+0	3.6000001E+0
324.0840696E-3	-4.0950426E+0	2.9989295E+0	3.7000000E+0
324.0883125E-3	-4.0910459E+0	2.9989687E+0	3.8000000E+0
324.1073797E-3	-4.1034032E+0	2.9991448E+0	3.9000001E+0
324.0944716E-3	-4.1120263E+0	2.9990256E+0	4.0000000E+0
324.1134757E-3	-4.1365190E+0	2.9992011E+0	4.0999999E+0
324.1012290E-3	-4.1332400E+0	2.9990880E+0	4.2000003E+0
324.1066177E-3	-4.1155259E+0	2.9991377E+0	4.3000002E+0
324.1139259E-3	-4.1045920E+0	2.9992052E+0	4.4000001E+0
324.1058043E-3	-4.0950987E+0	2.9991302E+0	4.5000000E+0
324.1088344E-3	-4.0930581E+0	2.9991582E+0	4.5999999E+0
324.1160108E-3	-4.0942261E+0	2.9992245E+0	4.7000003E+0
324.0877846E-3	-4.0802269E+0	2.9989638E+0	4.8000002E+0
324.0544557E-3	-4.0790943E+0	2.9986561E+0	4.9000001E+0
324.0896499E-3	-4.0753750E+0	2.9989811E+0	5.0000000E+0
324.1080378E-3	-4.0869087E+0	2.9991509E+0	5.0999999E+0
324.1255838E-3	-4.0809096E+0	2.9993129E+0	5.2000003E+0
324.1141684E-3	-4.0765735E+0	2.9992075E+0	5.3000002E+0
324.0895795E-3	-4.0664567E+0	2.9989804E+0	5.4000001E+0
324.0988709E-3	-4.0548782E+0	2.9990662E+0	5.5000000E+0
324.0857213E-3	-4.0600946E+0	2.9989448E+0	5.5999999E+0
324.1073967E-3	-4.0603514E+0	2.9991449E+0	5.7000003E+0
324.0966425E-3	-4.0642932E+0	2.9990456E+0	5.8000002E+0
324.0585427E-3	-4.0571561E+0	2.9986938E+0	5.9000001E+0
324.0746569E-3	-4.0703089E+0	2.9988426E+0	6.0000000E+0
324.1008335E-3	-4.0869550E+0	2.9990843E+0	6.0999999E+0
324.0987207E-3	-4.1041279E+0	2.9990648E+0	6.2000003E+0
324.1002083E-3	-4.0953197E+0	2.9990786E+0	6.3000002E+0
324.1010178E-3	-4.0962475E+0	2.9990860E+0	6.4000001E+0
324.1033965E-3	-4.0945804E+0	2.9991080E+0	6.5000000E+0
324.1156237E-3	-4.1113858E+0	2.9992209E+0	6.5999999E+0
324.1254598E-3	-4.1133834E+0	2.9993117E+0	6.7000003E+0
324.1314261E-3	-4.1070113E+0	2.9993668E+0	6.8000002E+0
324.1145147E-3	-4.1193944E+0	2.9992107E+0	6.9000001E+0
324.1108020E-3	-4.1213736E+0	2.9991764E+0	7.0000000E+0
324.0968849E-3	-4.1207213E+0	2.9990479E+0	7.0999999E+0
324.1054524E-3	-4.1130490E+0	2.9991270E+0	7.2000003E+0
324.1000715E-3	-4.1001692E+0	2.9990773E+0	7.3000002E+0
324.0919376E-3	-4.0825296E+0	2.9990022E+0	7.4000001E+0
324.1194071E-3	-4.0789126E+0	2.9992558E+0	7.5000000E+0
324.1118324E-3	-4.1134676E+0	2.9991859E+0	7.5999999E+0
324.1048541E-3	-4.1185788E+0	2.9991215E+0	7.7000003E+0
324.1091445E-3	-4.1075240E+0	2.9991611E+0	7.8000002E+0
324.1034463E-3	-4.1002957E+0	2.9991085E+0	7.9000001E+0
324.1242816E-3	-4.0986698E+0	2.9993008E+0	8.0000000E+0
324.1305513E-3	-4.1090784E+0	2.9993587E+0	8.1000004E+0
324.1084087E-3	-4.0956219E+0	2.9991543E+0	8.1999998E+0
324.1116746E-3	-4.0799466E+0	2.9991844E+0	8.3000002E+0
324.0901778E-3	-4.0618154E+0	2.9989859E+0	8.4000006E+0
