Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
324.6606714E-3	-3.9231670E+0	3.0042537E+0	200.0000030E-3
324.6782476E-3	-3.8593322E+0	3.0044160E+0	300.0000119E-3
324.6846950E-3	-3.8956394E+0	3.0044755E+0	400.0000060E-3
324.7151055E-3	-3.9172702E+0	3.0047563E+0	500.0000000E-3
324.6858849E-3	-3.8623753E+0	3.0044865E+0	600.0000238E-3
324.6894401E-3	-3.8711159E+0	3.0045193E+0	699.9999881E-3
324.6768047E-3	-3.8349984E+0	3.0044026E+0	800.0000119E-3
324.6850754E-3	-3.8016710E+0	3.0044790E+0	900.0000358E-3
324.7094252E-3	-3.9647099E+0	3.0047038E+0	1.0000000E+0
324.6968523E-3	-3.9171126E+0	3.0045877E+0	1.1000000E+0
324.6984846E-3	-3.9258836E+0	3.0046028E+0	1.2000000E+0
324.7133017E-3	-3.9045691E+0	3.0047396E+0	1.3000001E+0
324.7206473E-3	-3.8492945E+0	3.0048075E+0	1.4000000E+0
324.7037287E-3	-3.8248833E+0	3.0046512E+0	1.5000000E+0
324.7285097E-3	-3.8690256E+0	3.0048801E+0	1.6000000E+0
324.7360258E-3	-3.9177129E+0	3.0049495E+0	1.7000000E+0
324.6832453E-3	-3.8062729E+0	3.0044621E+0	1.8000001E+0
324.7007371E-3	-3.7435856E+0	3.0046236E+0	1.9000000E+0
324.7124385E-3	-3.7910507E+0	3.0047317E+0	2.0000000E+0
324.6999695E-3	-3.8938625E+0	3.0046165E+0	2.1000001E+0
324.7011595E-3	-3.9130363E+0	3.0046275E+0	2.2000000E+0
324.7159714E-3	-3.8917121E+0	3.0047643E+0	2.3000000E+0
324.7278723E-3	-3.8918531E+0	3.0048742E+0	2.4000001E+0
324.7267779E-3	-3.8190376E+0	3.0048641E+0	2.5000000E+0
324.7228746E-3	-3.8935320E+0	3.0048280E+0	2.6000001E+0
324.7595437E-3	-3.9846879E+0	3.0051666E+0	2.7000000E+0
324.7153430E-3	-3.8218990E+0	3.0047585E+0	2.8000000E+0
324.7219981E-3	-3.7706500E+0	3.0048199E+0	2.9000001E+0
324.7198479E-3	-3.6995437E+0	3.0048001E+0	3.0000000E+0
324.7212015E-3	-3.7236929E+0	3.0048126E+0	3.1000001E+0
324.7213613E-3	-3.8773095E+0	3.0048140E+0	3.2000000E+0
324.7689446E-3	-3.8874670E+0	3.0052534E+0	3.3000000E+0
324.7544598E-3	-3.8033891E+0	3.0051197E+0	3.4000001E+0
324.7760424E-3	-3.8888613E+0	3.0053190E+0	3.5000000E+0
324.7321465E-3	-3.8270231E+0	3.0049136E+0	3.6000001E+0
324.7604275E-3	-3.9658435E+0	3.0051748E+0	3.7000000E+0
324.7546946E-3	-3.8890650E+0	3.0051218E+0	3.8000000E+0
324.7790455E-3	-3.8773765E+0	3.0053467E+0	3.9000001E+0
324.7567728E-3	-3.7503976E+0	3.0051410E+0	4.0000000E+0
324.7601672E-3	-3.7673130E+0	3.0051724E+0	4.0999999E+0
324.7638062E-3	-3.8554472E+0	3.0052060E+0	4.2000003E+0
324.7566968E-3	-3.8539143E+0	3.0051403E+0	4.3000002E+0
324.7864906E-3	-4.0178014E+0	3.0054154E+0	4.4000001E+0
324.7795634E-3	-3.9762940E+0	3.0053515E+0	4.5000000E+0
324.7741886E-3	-3.9222942E+0	3.0053018E+0	4.5999999E+0
324.7757188E-3	-3.7591174E+0	3.0053160E+0	4.7000003E+0
324.7622576E-3	-3.7571413E+0	3.0051917E+0	4.8000002E+0
324.7688038E-3	-3.9633766E+0	3.0052521E+0	4.9000001E+0
324.7825421E-3	-4.0472332E+0	3.0053790E+0	5.0000000E+0
324.7868588E-3	-3.9363409E+0	3.0054188E+0	5.0999999E+0
