Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
8.3968569E-3	-426.3392502E-3	83.9968319E-3	200.0000030E-3
8.4004632E-3	-425.5459385E-3	84.0301312E-3	300.0000119E-3
8.4817304E-3	-434.2184704E-3	84.7805208E-3	400.0000060E-3
8.5932134E-3	-428.6791825E-3	85.8099110E-3	500.0000000E-3
8.6971698E-3	-434.2860332E-3	86.7698047E-3	600.0000238E-3
8.8703025E-3	-459.4989566E-3	88.3684445E-3	699.9999881E-3
9.0163866E-3	-448.4175717E-3	89.7173281E-3	800.0000119E-3
9.1636707E-3	-403.0909698E-3	91.0772918E-3	900.0000358E-3
9.3298896E-3	-388.7638221E-3	92.6120920E-3	1.0000000E+0
9.4757139E-3	-388.2071760E-3	93.9585770E-3	1.1000000E+0
9.6766762E-3	-408.8395147E-3	95.8141843E-3	1.2000000E+0
9.8487390E-3	-421.0390819E-3	97.4029459E-3	1.3000001E+0
10.0171053E-3	-438.7687592E-3	98.9575748E-3	1.4000000E+0
10.1595135E-3	-427.7000896E-3	100.2725165E-3	1.5000000E+0
10.3393237E-3	-421.9048101E-3	101.9328139E-3	1.6000000E+0
10.4977512E-3	-419.3571659E-3	103.3956708E-3	1.7000000E+0
10.6649460E-3	-423.6414766E-3	104.9394827E-3	1.8000001E+0
10.8468142E-3	-388.6848274E-3	106.6187833E-3	1.9000000E+0
10.9931022E-3	-382.2916559E-3	107.9695497E-3	2.0000000E+0
11.1788017E-3	-411.3108981E-3	109.6842262E-3	2.1000001E+0
11.3669106E-3	-459.3412869E-3	111.4211506E-3	2.2000000E+0
11.5416483E-3	-458.7826497E-3	113.0346103E-3	2.3000000E+0
11.6927043E-3	-415.9197453E-3	114.4294030E-3	2.4000001E+0
11.8755771E-3	-416.7567365E-3	116.1179784E-3	2.5000000E+0
12.0411032E-3	-433.9283337E-3	117.6463823E-3	2.6000001E+0
12.2071467E-3	-396.8560611E-3	119.1795628E-3	2.7000000E+0
12.3782861E-3	-386.1947347E-3	120.7597977E-3	2.8000000E+0
12.5344934E-3	-401.9428949E-3	122.2021554E-3	2.9000001E+0
12.7294273E-3	-427.7133362E-3	124.0020992E-3	3.0000000E+0
12.9155620E-3	-427.0001450E-3	125.7207940E-3	3.1000001E+0
13.0781509E-3	-422.4190751E-3	127.2220764E-3	3.2000000E+0
13.2555504E-3	-407.2527442E-3	128.8601145E-3	3.3000000E+0
13.4342131E-3	-434.4218728E-3	130.5098167E-3	3.4000001E+0
13.6278543E-3	-432.5035504E-3	132.2978240E-3	3.5000000E+0
13.7957693E-3	-420.0248297E-3	133.8482850E-3	3.6000001E+0
13.9722069E-3	-429.1566688E-3	135.4774415E-3	3.7000000E+0
14.1538042E-3	-419.8669537E-3	137.1542403E-3	3.8000000E+0
14.3113730E-3	-394.9422832E-3	138.6091689E-3	3.9000001E+0
14.4930485E-3	-398.3424968E-3	140.2866900E-3	4.0000000E+0
14.6737274E-3	-378.9681570E-3	141.9550085E-3	4.0999999E+0
14.8325023E-3	-379.0610792E-3	143.4210740E-3	4.2000003E+0
15.0215533E-3	-408.6062334E-3	145.1666976E-3	4.3000002E+0
15.2139752E-3	-408.1410901E-3	146.9434462E-3	4.4000001E+0
15.3964799E-3	-386.4435521E-3	148.6286232E-3	4.5000000E+0
15.5707835E-3	-403.9837380E-3	150.2380748E-3	4.5999999E+0
15.7397241E-3	-390.0731516E-3	151.7980065E-3	4.7000003E+0
15.9291017E-3	-387.5838740E-3	153.5466455E-3	4.8000002E+0
16.1374163E-3	-397.8530122E-3	155.4701416E-3	4.9000001E+0
16.3124434E-3	-456.5240734E-3	157.0862733E-3	5.0000000E+0
16.4823924E-3	-436.0189754E-3	158.6555157E-3	5.0999999E+0
