Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
8.4220381E-3	387.2565051E-3	84.2293450E-3	200.0000030E-3
8.4410925E-3	383.1918639E-3	84.4052865E-3	300.0000119E-3
8.5320459E-3	386.1858948E-3	85.2451148E-3	400.0000060E-3
8.6494625E-3	376.3828739E-3	86.3292933E-3	500.0000000E-3
8.8041972E-3	399.2446546E-3	87.7580537E-3	600.0000238E-3
8.9512411E-3	404.6762870E-3	89.1157993E-3	699.9999881E-3
9.1338143E-3	414.8417891E-3	90.8016098E-3	800.0000119E-3
9.2846765E-3	400.4899589E-3	92.1946126E-3	900.0000358E-3
9.4390627E-3	417.1534241E-3	93.6201542E-3	1.0000000E+0
9.5991163E-3	401.2300714E-3	95.0980271E-3	1.1000000E+0
9.7789170E-3	375.4259360E-3	96.7582367E-3	1.2000000E+0
9.9463437E-3	399.3594636E-3	98.3041893E-3	1.3000001E+0
10.0817330E-3	415.5736741E-3	99.5543217E-3	1.4000000E+0
10.2670744E-3	418.0620233E-3	101.2656917E-3	1.5000000E+0
10.4404736E-3	397.6461025E-3	102.8667920E-3	1.6000000E+0
10.5742490E-3	408.5096923E-3	104.1020221E-3	1.7000000E+0
10.7682595E-3	419.6188909E-3	105.8934391E-3	1.8000001E+0
10.9514154E-3	414.2626011E-3	107.5846297E-3	1.9000000E+0
11.1077669E-3	406.0977277E-3	109.0283183E-3	2.0000000E+0
11.2770991E-3	377.8316434E-3	110.5918660E-3	2.1000001E+0
11.4693297E-3	401.1450002E-3	112.3668485E-3	2.2000000E+0
11.6179835E-3	411.6805481E-3	113.7394598E-3	2.3000000E+0
11.8083483E-3	409.2753798E-3	115.4972142E-3	2.4000001E+0
11.9771995E-3	417.0705916E-3	117.0563205E-3	2.5000000E+0
12.1377073E-3	397.0370994E-3	118.5383871E-3	2.6000001E+0
12.3184678E-3	404.5742448E-3	120.2074588E-3	2.7000000E+0
12.5165287E-3	392.2937437E-3	122.0362760E-3	2.8000000E+0
12.6643790E-3	403.8170371E-3	123.4014677E-3	2.9000001E+0
12.8242957E-3	418.5110459E-3	124.8780771E-3	3.0000000E+0
13.0242642E-3	417.6804872E-3	126.7245077E-3	3.1000001E+0
13.1969460E-3	405.2623201E-3	128.3189847E-3	3.2000000E+0
13.3594588E-3	380.3162992E-3	129.8195646E-3	3.3000000E+0
13.5503912E-3	383.9074588E-3	131.5825592E-3	3.4000001E+0
13.6810208E-3	389.7099548E-3	132.7887426E-3	3.5000000E+0
13.9285240E-3	407.7255276E-3	135.0740907E-3	3.6000001E+0
14.0780203E-3	404.7023211E-3	136.4544814E-3	3.7000000E+0
14.2829004E-3	432.1857469E-3	138.3462642E-3	3.8000000E+0
14.4512723E-3	421.4960188E-3	139.9009446E-3	3.9000001E+0
14.6102047E-3	420.0388102E-3	141.3684647E-3	4.0000000E+0
14.8092737E-3	382.0655005E-3	143.2065905E-3	4.0999999E+0
14.9842405E-3	396.1152432E-3	144.8221651E-3	4.2000003E+0
15.1557313E-3	402.2542482E-3	146.4056445E-3	4.3000002E+0
15.3548819E-3	400.3128372E-3	148.2445234E-3	4.4000001E+0
15.4893428E-3	392.2788152E-3	149.4860827E-3	4.5000000E+0
15.6940737E-3	392.8556716E-3	151.3764881E-3	4.5999999E+0
15.8405846E-3	391.1667198E-3	152.7293127E-3	4.7000003E+0
16.0270136E-3	398.7679163E-3	154.4507259E-3	4.8000002E+0
16.2118494E-3	389.5577220E-3	156.1574277E-3	4.9000001E+0
16.4016270E-3	417.9437169E-3	157.9097600E-3	5.0000000E+0
16.5524719E-3	416.4520816E-3	159.3026029E-3	5.0999999E+0
16.7728164E-3	399.0380479E-3	161.3371786E-3	5.2000003E+0
16.9754379E-3	378.8090032E-3	163.2081062E-3	5.3000002E+0
