angle,B,strength,E_i,v_i,E_f,v_f,id
0.0,0.11085542771385694,0.0,10.364597698849426,[1. 0. 0. 0.],1.0554023011505747,[0. 0. 0. 1.],3->2
0.0,0.03721860930465233,0.0,4.147265032516258,[0. 0. 0. 1.],-5.189088344172086,[0. 1. 0. 0.],2->1
0.0,0.37058529264632317,0.0,-0.5232882441220603,[0. 1. 0. 0.],-9.850135267633817,[0. 0. 0. 1.],2->1
0.0,0.07443721860930466,0.7499999999999999,2.5845300650325163,[0. 0. 0. 1.],-6.751823311655828,[0. 0. 1. 0.],2->0
0.0,0.3329664832416208,1.0,-1.0498011005502752,[0. 1. 0. 0.],-10.370198899449726,[0. 0. 1. 0.],2->0
0.0,0.7411705852926463,0.7499999999999999,-16.08342351175588,[0. 0. 1. 0.],-25.410270535267635,[0. 0. 0. 1.],1->0
0.0015723686954903868,0.11085542771385694,3.960326119626798e-13,10.364593174369121,[9.99999958e-01 2.90949455e-04 8.05389345e-08 3.65569493e-11],1.0554102018138638,[-2.15804489e-10  4.75440583e-07  5.08056840e-04  9.99999871e-01],3->2
0.0015723686954903868,0.03721860930465233,2.2452135557791283e-06,4.147267158250836,[-1.08866131e-11  2.39843879e-08  1.36696627e-04  9.99999991e-01],-5.1890865738701475,[-1.13840531e-04  9.99998757e-01  1.57236407e-03 -2.38921226e-07],2->1
0.0015723686954903868,0.37058529264632317,0.0002206508872362111,-0.5232781647465718,[-6.48158839e-04  9.99998554e-01  1.57236846e-03  2.38136983e-06],-9.849925422200114,[ 1.07107236e-08 -2.35967412e-05  1.34927414e-02  9.99908969e-01],2->1
0.0015723686954903868,0.07443721860930466,0.7499970803317428,2.5845347909134455,[-6.23122482e-11  1.37280622e-07  3.03900571e-04  9.99999954e-01],-6.75182803752574,[-2.86214230e-07  1.57236383e-03 -9.99998718e-01  3.03899979e-04],2->0
